,Nama,Ulasan,Label,review_token,comment_normalize,stopwords_removal,stopwords_removal_final,stemming
10,Nurdin Rizqiansyah,wisata air terjun toroan airnya sungai langsung terjun ke laut tempatnya terawat dan bagus dilihatnya tiket k org salam dr jember semoga kedepanya lebih baik lagi dan top dah buat air terjun toroan,Positif,"['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya', 'tiket', 'k', 'org', 'salam', 'dr', 'jember', 'semoga', 'kedepanya', 'lebih', 'baik', 'lagi', 'dan', 'top', 'dah', 'buat', 'air', 'terjun', 'toroan']","['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya', 'tiket', 'ribu', 'orang', 'salam', 'dr', 'jember', 'semoga', 'kedepanya', 'lebih', 'baik', 'lagi', 'dan', 'keren', 'dah', 'buat', 'air', 'terjun', 'toroan']","['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya', 'tiket', 'ribu', 'orang', 'salam', 'dr', 'jember', 'semoga', 'kedepanya', 'keren', 'dah', 'air', 'terjun', 'toroan']","['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya', 'tiket', 'salam', 'dr', 'jember', 'semoga', 'kedepanya', 'keren', 'air', 'terjun', 'toroan']","['wisata', 'air', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat', 'tiket', 'salam', 'dr', 'jember', 'moga', 'depa', 'keren', 'air', 'terjun', 'toro']"
11,Luki Hidayah,patut dicoba masih sangat alami sebelum masuk infokan ke petugas airnya ada krn kalau musin kemarau suka kecil debit air terjunnya,Positif,"['patut', 'dicoba', 'masih', 'sangat', 'alami', 'sebelum', 'masuk', 'infokan', 'ke', 'petugas', 'airnya', 'ada', 'krn', 'kalau', 'musin', 'kemarau', 'suka', 'kecil', 'debit', 'air', 'terjunnya']","['patut', 'dicoba', 'masih', 'sangat', 'alami', 'sebelum', 'masuk', 'infokan', 'ke', 'petugas', 'airnya', 'ada', 'karena', 'kalau', 'musin', 'kemarau', 'suka', 'kecil', 'debit', 'air', 'terjunnya']","['patut', 'dicoba', 'alami', 'masuk', 'infokan', 'petugas', 'airnya', 'musin', 'kemarau', 'suka', 'debit', 'air', 'terjunnya']","['patut', 'dicoba', 'alami', 'masuk', 'infokan', 'petugas', 'airnya', 'musin', 'kemarau', 'suka', 'debit', 'air', 'terjunnya']","['patut', 'coba', 'alami', 'masuk', 'info', 'tugas', 'air', 'musin', 'kemarau', 'suka', 'debit', 'air', 'terjun']"
12,ananda alden,tempatnya bagus selain air terjun diatasnya jg ada rest area parkir rb masuk rb hari biasa,Positif,"['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'jg', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa']","['tempatnya', 'bagus', 'selain', 'air', 'terjun', 'diatasnya', 'juga', 'ada', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb', 'hari', 'biasa']","['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb']","['tempatnya', 'bagus', 'air', 'terjun', 'diatasnya', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb']","['tempat', 'bagus', 'air', 'terjun', 'atas', 'rest', 'area', 'parkir', 'rb', 'masuk', 'rb']"
13,REANITA PUTRI ARDANA,kondisi setelah hujan airnya jadi kecoklatan,Negatif,"['kondisi', 'setelah', 'hujan', 'airnya', 'jadi', 'kecoklatan']","['kondisi', 'setelah', 'hujan', 'airnya', 'jadi', 'kecoklatan']","['kondisi', 'hujan', 'airnya', 'kecoklatan']","['kondisi', 'hujan', 'airnya', 'kecoklatan']","['kondisi', 'hujan', 'air', 'coklat']"
14,N3Y,pulau madura ternyata mempunyai obyek wisata air terjun juga sy pikir madura hanya mempunyai obyek wisata bukit kapur dan pantai saja ternyata madura mempunyai obyek wisata yang menakjubkan salah satunya adalah air terjun toroan,Positif,"['pulau', 'madura', 'ternyata', 'mempunyai', 'obyek', 'wisata', 'air', 'terjun', 'juga', 'sy', 'pikir', 'madura', 'hanya', 'mempunyai', 'obyek', 'wisata', 'bukit', 'kapur', 'dan', 'pantai', 'saja', 'ternyata', 'madura', 'mempunyai', 'obyek', 'wisata', 'yang', 'menakjubkan', 'salah', 'satunya', 'adalah', 'air', 'terjun', 'toroan']","['pulau', 'madura', 'ternyata', 'mempunyai', 'obyek', 'wisata', 'air', 'terjun', 'juga', 'saya', 'pikir', 'madura', 'hanya', 'mempunyai', 'obyek', 'wisata', 'bukit', 'kapur', 'dan', 'pantai', 'saja', 'ternyata', 'madura', 'mempunyai', 'obyek', 'wisata', 'yang', 'menakjubkan', 'salah', 'satunya', 'adalah', 'air', 'terjun', 'toroan']","['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'menakjubkan', 'salah', 'satunya', 'air', 'terjun', 'toroan']","['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'menakjubkan', 'salah', 'satunya', 'air', 'terjun', 'toroan']","['pulau', 'madura', 'obyek', 'wisata', 'air', 'terjun', 'pikir', 'madura', 'obyek', 'wisata', 'bukit', 'kapur', 'pantai', 'madura', 'obyek', 'wisata', 'takjub', 'salah', 'satu', 'air', 'terjun', 'toro']"
15,asan vagez,sengkok oreng ketapang cong dus nodusih sangat tidak rekomendasi,Negatif,"['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'sangat', 'tidak', 'rekomendasi']","['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'sangat', 'tidak', 'rekomendasi']","['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'rekomendasi']","['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'rekomendasi']","['sengkok', 'oreng', 'ketapang', 'cong', 'dus', 'nodusih', 'rekomendasi']"
16,Faisol Munif,air terjun toroan ini bagus sekali air terjun yang jatuhnya langsung ke laut pemandangan yang indah bisa menikmati air terjun sekaligus menikmati keindahan laut lepas ada beberapa spot untuk foto yang bagus untuk dijadikan tempat untuk,Positif,"['air', 'terjun', 'toroan', 'ini', 'bagus', 'sekali', 'air', 'terjun', 'yang', 'jatuhnya', 'langsung', 'ke', 'laut', 'pemandangan', 'yang', 'indah', 'bisa', 'menikmati', 'air', 'terjun', 'sekaligus', 'menikmati', 'keindahan', 'laut', 'lepas', 'ada', 'beberapa', 'spot', 'untuk', 'foto', 'yang', 'bagus', 'untuk', 'dijadikan', 'tempat', 'untuk']","['air', 'terjun', 'toroan', 'ini', 'bagus', 'sekali', 'air', 'terjun', 'yang', 'jatuhnya', 'langsung', 'ke', 'laut', 'pemandangan', 'yang', 'indah', 'bisa', 'menikmati', 'air', 'terjun', 'sekaligus', 'menikmati', 'keindahan', 'laut', 'lepas', 'ada', 'beberapa', 'spot', 'untuk', 'foto', 'yang', 'bagus', 'untuk', 'dijadikan', 'tempat', 'untuk']","['air', 'terjun', 'toroan', 'bagus', 'air', 'terjun', 'jatuhnya', 'langsung', 'laut', 'pemandangan', 'indah', 'menikmati', 'air', 'terjun', 'menikmati', 'keindahan', 'laut', 'lepas', 'spot', 'foto', 'bagus', 'dijadikan']","['air', 'terjun', 'toroan', 'bagus', 'air', 'terjun', 'jatuhnya', 'langsung', 'laut', 'pemandangan', 'indah', 'menikmati', 'air', 'terjun', 'menikmati', 'keindahan', 'laut', 'lepas', 'spot', 'foto', 'bagus', 'dijadikan']","['air', 'terjun', 'toro', 'bagus', 'air', 'terjun', 'jatuh', 'langsung', 'laut', 'pandang', 'indah', 'nikmat', 'air', 'terjun', 'nikmat', 'indah', 'laut', 'lepas', 'spot', 'foto', 'bagus', 'jadi']"
17,Indra Susandi,dari sumenep ke air terjun yang berada di utara ini benar butuh perjuangan melewati hutan sepi dan perbukitan serta jalannya banyak lubang sampai ketapang sudah malan dan nginap di spbu karena satunya homestay sdh full pagi ke air,Negatif,"['dari', 'sumenep', 'ke', 'air', 'terjun', 'yang', 'berada', 'di', 'utara', 'ini', 'benar', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'dan', 'perbukitan', 'serta', 'jalannya', 'banyak', 'lubang', 'sampai', 'ketapang', 'sudah', 'malan', 'dan', 'nginap', 'di', 'spbu', 'karena', 'satunya', 'homestay', 'sdh', 'full', 'pagi', 'ke', 'air']","['dari', 'sumenep', 'ke', 'air', 'terjun', 'yang', 'berada', 'di', 'utara', 'ini', 'benar', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'dan', 'perbukitan', 'serta', 'jalannya', 'banyak', 'lubang', 'sampai', 'ketapang', 'sudah', 'malan', 'dan', 'nginap', 'di', 'spbu', 'karena', 'satunya', 'homestay', 'sdh', 'full', 'pagi', 'ke', 'air']","['sumenep', 'air', 'terjun', 'utara', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'perbukitan', 'jalannya', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satunya', 'homestay', 'sdh', 'full', 'pagi', 'air']","['sumenep', 'air', 'terjun', 'utara', 'butuh', 'perjuangan', 'melewati', 'hutan', 'sepi', 'perbukitan', 'jalannya', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satunya', 'homestay', 'sdh', 'pagi', 'air']","['sumenep', 'air', 'terjun', 'utara', 'butuh', 'juang', 'lewat', 'hutan', 'sepi', 'bukit', 'jalan', 'lubang', 'ketapang', 'malan', 'nginap', 'spbu', 'satu', 'homestay', 'sdh', 'pagi', 'air']"
18,Masagus Imaduddin,jarang jarang ada air terjun di pinggir pantai nih reccomend banget kesini tapi emang harus sabar di perjalanan agak jauh memang,Positif,"['jarang', 'jarang', 'ada', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'nih', 'reccomend', 'banget', 'kesini', 'tapi', 'emang', 'harus', 'sabar', 'di', 'perjalanan', 'agak', 'jauh', 'memang']","['jarang', 'jarang', 'ada', 'air', 'terjun', 'di', 'pinggir', 'pantai', 'nih', 'reccomend', 'banget', 'sini', 'tapi', 'emang', 'harus', 'sabar', 'di', 'perjalanan', 'agak', 'jauh', 'memang']","['jarang', 'jarang', 'air', 'terjun', 'pinggir', 'pantai', 'nih', 'reccomend', 'banget', 'emang', 'sabar', 'perjalanan']","['jarang', 'jarang', 'air', 'terjun', 'pinggir', 'pantai', 'nih', 'reccomend', 'banget', 'emang', 'sabar', 'perjalanan']","['jarang', 'jarang', 'air', 'terjun', 'pinggir', 'pantai', 'nih', 'reccomend', 'banget', 'emang', 'sabar', 'jalan']"
19,Herlina Anita,air terjun toroan terletak di kabupaten sampang air terjunnya tdk terlalu tinggi pemandangan di sekitar lumayan bagus apalagi kalo saat matahari mau tenggelam jalan menuju lokasi medannya baik dan lancar di air terjun toroan ini tidak diperbolehkan untuk mandi karena sdh pernah menelan korban jiwa tidak bisa buat kemah juga,Positif,"['air', 'terjun', 'toroan', 'terletak', 'di', 'kabupaten', 'sampang', 'air', 'terjunnya', 'tdk', 'terlalu', 'tinggi', 'pemandangan', 'di', 'sekitar', 'lumayan', 'bagus', 'apalagi', 'kalo', 'saat', 'matahari', 'mau', 'tenggelam', 'jalan', 'menuju', 'lokasi', 'medannya', 'baik', 'dan', 'lancar', 'di', 'air', 'terjun', 'toroan', 'ini', 'tidak', 'diperbolehkan', 'untuk', 'mandi', 'karena', 'sdh', 'pernah', 'menelan', 'korban', 'jiwa', 'tidak', 'bisa', 'buat', 'kemah', 'juga']","['air', 'terjun', 'toroan', 'terletak', 'di', 'kabupaten', 'sampang', 'air', 'terjunnya', 'tidak', 'terlalu', 'tinggi', 'pemandangan', 'di', 'sekitar', 'lumayan', 'bagus', 'apalagi', 'kalau', 'saat', 'matahari', 'mau', 'tenggelam', 'jalan', 'menuju', 'lokasi', 'medannya', 'baik', 'dan', 'lancar', 'di', 'air', 'terjun', 'toroan', 'ini', 'tidak', 'diperbolehkan', 'untuk', 'mandi', 'karena', 'sdh', 'pernah', 'menelan', 'korban', 'jiwa', 'tidak', 'bisa', 'buat', 'kemah', 'juga']","['air', 'terjun', 'toroan', 'terletak', 'kabupaten', 'sampang', 'air', 'terjunnya', 'pemandangan', 'lumayan', 'bagus', 'matahari', 'tenggelam', 'jalan', 'lokasi', 'medannya', 'lancar', 'air', 'terjun', 'toroan', 'diperbolehkan', 'mandi', 'sdh', 'menelan', 'korban', 'jiwa', 'kemah']","['air', 'terjun', 'toroan', 'terletak', 'kabupaten', 'sampang', 'air', 'terjunnya', 'pemandangan', 'lumayan', 'bagus', 'matahari', 'tenggelam', 'jalan', 'lokasi', 'medannya', 'lancar', 'air', 'terjun', 'toroan', 'diperbolehkan', 'mandi', 'sdh', 'menelan', 'korban', 'jiwa', 'kemah']","['air', 'terjun', 'toro', 'letak', 'kabupaten', 'sampang', 'air', 'terjun', 'pandang', 'lumayan', 'bagus', 'matahari', 'tenggelam', 'jalan', 'lokasi', 'medan', 'lancar', 'air', 'terjun', 'toro', 'boleh', 'mandi', 'sdh', 'tel', 'korban', 'jiwa', 'kemah']"
